POSIZIONE;DESCRIZIONE;PESO IN KG
D1;INC. F.110 TINTA UNITA NERO X PRALINA;7 + 232,9 + 6 + 5,8
D2;INC. F.110 TINTA UNITA VERDE X PRALINA;105,83 + 45,8
D3;INC. F.110 TINTA UNITA ORO X PRALINA;376,55 + 6,1
D4;INC. F.110 PET TWIST TINTA UNITA VIOLA X PRALINA;33,7
D4;INC. F.110 PET TWIST TINTA UNITA ROSSA X PRALINA;225 + 11,2
D5;INC. F.110 PET TWIST TINTA UNITA ARGENTO X PRALINA;178 + 6
D6;INC. F.110 PET TWIST TINTA UNITA GIALLO OCRE X PRALINA;293,42 + ??
D7;INC. F.110 PET TWIST TINTA UNITA MARRONE X PRALINA;319,04
D8;INC. F.110 PET TWIST TINTA UNITA VERDE X PRALINA;507,22
D9;INC. F.110 PET TWIST TINTA UNITA CELESTE X PRALINA;448,06 + ??
D10;INC. F.110 PET TWIST TINTA UNITA ARANCIONE X PRALINE;255,76
D11;INC. F.110 PET TWIST BIANCO CELESTE DI GENNARO;481,3
D12;INC. F.110 PET TWIST GIALLO ROSA DI GENNARO;452,4
D13;INC. F.110 PET TWIST METALLIZZATO ROSA DI GENNARO;37,16
D13;INC. F.110 PET TWIST METALLIZZATO CELESTE DI GENNARO;37,9
D14;INC. F.110 MARRONE SCRITTA PRALINA;34,86
D14;INC. F.110 ARGENTO SCRITTA PRALINA;41,3
D14;"INC. F.110 ORO SCRITTA ""PRALINA""";87,72
D14;"INC. F.110 RAME SCRITTA ""PRALINA""";10,28
D15;INC. F.110 SCRITTA PRALINA LATTE BIANCO/PANNA;8
D15;INC. F.110 SCRITTA PRALINA LATTE BIANCO/ROSSO;40,92
D15;INC. F.110 TRASPARENTE + POIS PRALINA FOND./TORRONE;19,64
D15;INC. F.110 MENTA POIS BON BON;88,64
D16;INC. F.110 TRASPARENTE + ROSA DI GENNARO;44,34
D16;INC. F.110 TRASPARENTE + CELESTE DI GENNARO;46,92
D17;INC. F.110 GIALLO ALLUMINIO 48 MM GOFFRATO;108,16
D18;INC. GIALLO OCRE 48 MM GOFFRATO;195,67
D19;INC. NERO 48MM GOFFRATO;257,79 + 9,57
D20;INC. NERO 48MM GOFFRATO;340
D21;INC. ORO 48MM GOFFRATO;170 + 159,4
D22;INC. ORO 48MM GOFFRATO;305
D23;INC. BLU 48MM GOFFRATO;344
D24;INC. FUXIA 48MM GOFFRATO;332,4
D25;INC. ROSA 48MM GOFFRATO;40
D26;INC. ARANCIONE 48MM;212,15
D27;INC. VERDE 48 MM;428,18
D28;INC. TURCHESE 48 MM;89,65
D29;INC. MARRONE 48 MM;151,89 + 1,5
D30;INC. VIOLA 48 MM;31,76
D31;INC. ROSSO 48 MM;28,9 + 327
D32;INC. ARGENTO 48MM;12,26 + 3
D32;INC. BLU SCURO 48MM;2,29
D33;INC. ALLUMINIO TIFFANY POIS 54 MM;68,81
D33;INC. ALLUMINIO SCRITTA OVETTI POIS ARANCIO 48MM;2,7
D33;INC. ALLUMINIO SCRITTA OVETTI POIS GIALLO 48MM;23,3
D33;INC. ALLUMINIO SCRITTA OVETTI POIS MARRONE 48MM;11,8
D33;INC. ALLUMINIO SCRITTA OVETTI POIS TIFFANY 48MM;33,8
E1;INC. F.345 OVETTI JUVE;57,9
E1;INC. F.345 OVETTI MILAN;23,8
E1;INC. F.345 OVETTI INTER;31,5
E2;INC. F.345 OVETTI VERONA;102
E2;INC. F.345 OVETTI LAZIO;45,3
E2;INC. F.345 OVETTI ROMA;131,4
E3;INC. F.345 OVETTI ATALANTA;137,82
E3;INC. F.345 OVETTI TORINO;122
